disease_name,pathogen,symptoms,development,hosts_distribution,importance,treatments
Tan Spot (Yellow Leaf Spot or Blotch),"Pyrenophora trichostorna; fHelminthhosporium tritici-repentis); S y n. P. tritici-repentis, Drechslera tritici -repentis","At first, lesions appear as tan to brown flecks, which expand into large, irregular, oval- or lens-shaped tan blotches with a yellow or chlorotic margin (23). As these spots coalesce, large blotches are formed. The development of a dark brown to black spot in the center of the lesion is characteristic of the disease. As the disease progresses, entire leaves, spikes, and even whole plants may be killed.","Initial infections come from diseased crop debris in the soil, or from diseased grass hosts. Usually the lower leaves are infected first, and the disease progresses to the upper leaves and leaf sheaths if conditions are favorable. This disease develops over a wide range of temperatures and is favored by long periods (1 8 hours or more) of dew or rain.","Tan spot can affect wheat and several related grasses; triticale, barley, and rye are less frequently affected. The disease is found in the major temperate wheat -growing areas.","When severe, tan spot can cause premature death of the leaves, thereby reducing yield by lowering test weights and producing a high degree of kernel shrivelling. This disease has become more important with the increased adoption of minimum and/or no-till agronomic practices, which leave crop debris in place.",
Alternaria Leaf Blight,Alternaria triticina,"Small, chlorotic, oval - or elliptical- shaped lesions appear and, as they enlarge, these lesions become irregular in shape. The chlorotic borders of the lesions may become diffuse and turn light to dark brown in color (24). Lesions are difficult to distinguish from those caused by Helrninthosporiurn spp. Infection usually starts on the lower leaves, but symptoms can be found on all plant parts.","The fungus survives as conidia on seed or as mycelia within seed. Sporulation on lower leaves provides inoculum that can be dispersed by wind, leading to secondary spread of the disease. Seed -borne inoculum often results in spike infections late in the crop cycle. High humidity or irrigation, as well as warmer temperatures (20' to 25'C) favor infection and disease development.","Bread wheat and durum wheat, as well as several related grasses, are the primary hosts. The disease is common in the eastern and central areas of the Asian Subcontinent.",Alternaria leaf blight can be very severe if environmental conditions are favorable for disease development; major losses can result when susceptible cultivars are grown.,
Fusarium. Leaf Blotch (Snow Mold),Calonectria nivalis (Fusarium nivale),"The blotching caused by this organism becomes evident on leaves at about late-joint to early-boot growth stage. Young lesions occur as oval to elliptical, greyish green mottled areas, usually located where the leaf bends (25). The lesions enlarge rapidly, developing into large, ""eyespot"" blotches with bleached or light grey centers; the leaves tend to split or shred, beginning at the centers of the lesions (26). The fungus also can cause seedling blight, foot rot, head scab (27) and, in winter cereals, pink snow mold.","Spores are produced on crop debris left on or near the soil surface. These spores are transmitted to leaves by the wind or by splashing rain. Disease development is favored by cool, moist weather.","Generally, the disease affects durum wheat and triticale more than bread wheat or rye; oats and barley appear to be immune. Reports indicate that the disease is restricted to East Africa, the highland areas of Mexico, the Andean region of South America, and parts of southern China.","Severe disease development can cause complete defoliation, resulting in poor grain development, shrivelling, and low test weights (28).",
Scab (Head Blight),Fusarium spp.,"lnfected florets (especially the outer glumes) become slightly darkened and oily in appearance (29). Conidiospores are produced in sporodochia, which gives the spike a bright pinkish color (30). lnfected kernels may be permeated with mycelia and the surface of the florets totally covered by white, matted mycelia.","Several species of Fusarium can attack the spikes of small grain cereals; the ovaries are infected at anthesis, and infection is favored by warm and humid weather during and after heading. Temperatures between lo0 and 28OC are required for infection. Once primary infection has occurred, the disease can spread from floret to floret by mycelial growth through the spike structure.",All small grain cereals may be affected by this disease. Fusarium spp. are present in nearly all soils and crop residues.,Severe levels of infection can cause yield losses of more than 50% and significant reductions in grain quality. Kernels from diseased spikes are often shrivelled. Harvested grain containing more than 5% infected kernels can contain enough toxin to be harmful to humans and animals.,"Apply fungicides at flowering stage (prothioconazole, tebuconazole); Use resistant varieties; Rotate with non-cereal crops; Avoid planting after corn"
Ergot,Claviceps purpurea,"At flowering, infected florets produce a yellowish, sticky, sweet exudate (containing conidia) that is visible on the glumes. As the spike matures, kernels of infected florets are replaced by brown to purplish black fungal structures (sclerotia or ""ergot bodies "") (31 ). These ergot bodies can reach 20 mm in length (32).","The primary infection originates from ascospores in fruiting bodies produced by sclerotia from the previous year's crop. Ascospores infect the florets, which then produce the sticky exudate containing conidia. Insects are attracted to the sweet exudate, and carry conidia to healthy florets in the same spike or to adjacent spikes. Rainy or humid weather favors the production of exudate and spores. An ergot body develops in each infected floret; these fungal structures can survive in the soil from one season to the next, and under dry conditions they can remain viable for many years. Sclerotia require cold temperatures before they can germinate.","Ergot is found in all small grain cereal crops, especially if sterility occurs for some reason (e.g., frost). Sterile florets tend to open and thus become more liable to infection. The disease is more prevalent in cool, humid climates.","Yield losses tend to be small, but losses due to discounted grain quality can be significant and occur worldwide.",
Black Point,"Alternaria, Helminthosporium, and Fusarium s pp .","The pericarps of maturing wheat kernels turn dark brown to black, with the discoloration usually restricted to the germ-end of the kernel (33; 34 is healthy seed). If caused by Alternaria spp., the dark color affects only the pericarp; if caused by Helminthosporium or Fusarium spp., the germ may be invaded and injured or killed. There are other fungi that can cause black point, but the three noted here are the most common.","Usually, kernels are infected by these fungi during the dough stage. If humid weather prevails for a few days to a week just prior to harvest, the incidence of infection will increase and black point will develop in many cultivars.","Wheat is the principal host; triticale and several related grasses also can be affected. Distribution is worldwide, wherever small grain cereals are grown.","Losses are due mainly to discounted prices paid for discolored grain; if Fusarium or Helminthosporium spp. are involved, the viability of the seed also may be reduced.",
Downy Mildew,Sclerophthora rnacrospora (Sclerospora rnacrospora),"Diseased plants tiller profusely; they have short, erect, irregular, or crooked yellowish- green culms; and the leaves are thick, erect, and usually in whorls (35). Tillers die prematurely or never head. If formed, the heads may be branched, and some of the floral tissues grow into leaflike structures (36).","The disease in cereals is generally associated with water-logged or excessively irrigated fields. Development is enhanced if temperatures range between lo0 and 25OC. Infection may be initiated by inoculum in the soil, or from diseased weed hosts, and water must be present for infection to occur. Symptoms are most obvious during the tilleringlstem elongation growth stages of the host plant.","The fungus has a broad host range, including small grain cereals, maize, sorghum, and most grasses. It may be found wherever soils become water -logged or are poorly drained.","Small, localized epidemics can occur when conditions are favorable. There have been no reports of widespread and destructive epidemics.",
Take-All,"Gaeumannomyces graminis f, sp. tritici; Syn. Ophiobolus grarninis","This fungus causes rotting of the roots and lower stems. Basal stem and leaf sheath tissues, as well as roots, may turn a shiny black color (37). When examined with a hand lens (10x1, dark fungal hyphae may often be found on the subcrown internode beneath the old leaf sheaths. Coarse, black runner hyphae are conspicuous on roots. Severe disease development is indicated by stunted plants with whitened stems and spikes (38, page 43). When infection occurs early in the crop cycle, the number of tillers is often reduced and spikes are often sterile.","The fungus persists on crop debris in the soil. Initial infections come from contact with hyphae or ascospores in the soil. Infection can occur throughout the crop cycle, but is favored by cool (12-18OC) soil temperatures and alkaline or nutrient deficient soils. Nitrate also appears to enhance disease development. Infections of the roots occurring in the fall and early spring generally progress to the crown and lower stem tissues; infections occurring later in the crop cycle cause less damage since they usually are confined to the roots. (continued)","The take -all fungus displays. a degree of specialization for wheat, triticale and several related grasses. The disease appears to be restricted to temperate wheat -growing areas.","Take-all is widespread in monocropped areas and has been known to cause considerable yield losses in winter wheat and fall- sown spring wheat areas, especially where liming or minimum tillage is practiced.",Practice crop rotation with non-cereal crops; Maintain proper soil pH; Use resistant varieties where available; Avoid excessive nitrogen
Eyespot (Straw breaker),Pseudocercosporella herpotrichoides; Sy n . Cercosporella herpotrichoides,"The most obvious symptoms of this disease are the eye-shaped, elliptical lesions produced on the internodes of the lower stem (39). The lesions are bordered by dark brown to greenish brown rings, have straw-colored centers, and frequently develop on the leaf sheath at soil level. These lesions may coalesce and lose their distinct ""eye-spot"" appearance. When disease development is severe, the stem or culm may break near the ground or through the lesion where the stem is weakened (40). Symptoms do not appear on the roots.","Primary infection occurs from conidia or mycelia produced on crop debris on or near the soil surface; contact with the developing coleoptile or basal areas of young culms is required. The fungus is limited to the basal areas of the plant. Disease development is favored by cool, damp weather, and by high humidity at the soil level.","Wheat, triticale, rye, oats, and other related grasses can be affected by the disease, with wheat being the most susceptible; winter wheat and fall-sown spring wheat are more frequently damaged. Eyespot occurs in cool, moist climates where fall-sown cereals predominate.","Eyespot may kill individual tillers or even whole plants. More commonly, yield losses result from reduced kernel size and number, and from lodging.",Apply fungicides such as prothioconazole or tebuconazole; Use resistant varieties; Practice crop rotation; Reduce crop residue
Sharp Eyespot and Rhizoctonia Root Rot,Rhizoctonia solani,"The primary symptoms of sharp eyespot are the lesions that develop on basal leaf sheaths; these lesions are similar to those caused by Pseudocercosporella herpotrichoides (eyespot). Sharp eyespot lesions are more superficial and more sharply outlined than those typical of eyespot. The margins are dark brown with pale, straw-colored centers (41 ). The mycelia often present in the centers of lesions are easily removed by rubbing. Roots can also be affected, usually becoming brown in color and reduced in number. The disease can cause stunting and a reduction in the number of tillers.","Infection is highly dependent upon environmental conditions. Disease development is favored by dry, sandy soils, cool temperatures, and high humidity. The fungus persists in soil and in crop debris, and invades root and crown tissues.","Rhizoctonia solani has perhaps the widest host range of any pathogen, attacking most cultivated crops; virtually all members of the Graminae family are susceptible. It is a ubiquitous fungus, present almost everywhere in soil and crop debris.","The disease is usually more severe in fields that are continuously sown to cereals, especially winter wheat. However, no major or widespread epidemics have been reported.",
"Common Root Rot, Foot Rot, and Crown Rot","Helminthosporium, Fusarium, and Pythiurn spp.","These fungi produce a darkening or browning of the root, crown, and basal culm tissues. Individual plants or groups of plants may lodge. White spikes often are visible just prior to normal physiological maturity (42). lnfection early in the crop development can cause pre- or post- emergence ""damping off"" of seedlings (43). Since each fungus can attack a different plant part at a different growth stage, positive field identification of the causal agent is difficult.","The roots or crown tissues are infected by conidia or mycelia present on crop debris, Infection by and development of common root rot (Helminthosporium spp. ) is favored by warm, dry soils when the plants are under stress. The root, foot, and crown rots caused by Fusarium spp. are generally favored by cooler, moist soils, and wet soils favor Pythium spp.",These diseases affect all major small grain cereals grown in the temperate regions of the world.,"Major epidemics have not been reported. However, localized losses can result from thinned stands, a decrease in the number of tillers, and from reductions in head size and test weights.",
Sclerotium Wilt (Southern Blight),Corticum rolfsii (Sclerotium rolfsii),"If infection occurs early in the crop cycle, pre - or post-emergence ""damping off"" of seedlings can result. Diseased tissues will frequently have white, fluffy fungal mycelia on the surface (441, which often permeate the soil surrounding the plant. Subsequent disease development results in rotted culms, crowns, and roots, and the eventual death of the plant; this leads to the appearance of ""white heads"" or spikes in the green crop (45). Sclerotia are commonly found on the crown tissues, culms, or near the soil surface (46). Young sclerotia are whitish and turn brown to dark brown with age.","Sclerotium rolfsii can attack the plant at any stage of development. Fungal mycelia on crop debris or sclerotia serve as primary inoculum. Infection and disease development are favored by warm (20°C +) temperatures, excessive moisture, and acid soils.","Most cereals and grasses, plus many broad -leaf plant species are susceptible, and the fungus is widespread in tropical and subtropical environments.",The disease is seldom a problem in traditional wheat -growing areas.,Practice crop rotation with non-host crops; Improve soil drainage to reduce excessive moisture; Apply fungicides such as flutolanil or azoxystrobin if available; Remove and destroy infected plant debris; Maintain proper soil pH (avoid highly acidic soils); Use clean, disease-free seed
Black Molds (Sooty Molds),"Alrernaria, Cladosporium, Stemphylium, Epicoccum; and other species","The typical symptom is the blackened appearance of mature or dead spikes, caused by a superficial accumulation of mycelia and sporulating fungal tissue (47).","When wet or humid weather occurs at or near crop maturation, or when plants are heavily infested with aphids, or when plants die prematurely, they may be invaded by one or more of these fungi. Technically, black molds do not constitute a disease, since the fungi are saprophytic and invade only dead or dying plant tissue.",Black molds affect any kind of dead or dying plant tissue; distribution is worldwide.,"Black molds generally are not economically important. Under humid or rainy conditions, the fungi can invade mature kernels, causing discoloration, black point, or smudge. Bacterial Diseases Bacterial plant pathogens are small unicellular rods . from 1 to 3 pm in length. They do not have a well-defined nucleus, nor a nuclear membrane. Bacteria are spread by insects, air currents, splashing rain, and by mechanical means. Free moisture usually is necessary for infection, and penetration of host tissue occurs through wounds or stomata1 openings. These pathogens invade the vascular system or intercellular spaces in host tissue, and necrosis results from toxins produced or enzymatic activity of the bacteria.",
Bacterial Black Chaff and Bacterial Stripe,"Xanthornonas carnpestris pv. translucens; Syn. X. translucens, X. translucens f.sp. undulosa,; X. campestris pv. undulosa","Black chaff and bacterial stripe are both caused by the same organism; the site and extent of the symptoms depends on the strain of the bacterium, the affected cultivar and environmental conditions. ""Bacterial black chaff"" occurs primarily on the glumes (48); ""bacterial stripe"" occurs primarily on the leaves and/or leaf sheaths (49). Initial symptoms are narrow chlorotic lesions or stripes that have a water- soaked appearance; droplets of sticky yellowish exudate may appear with extended periods of rain or dew (50). The exudate dries to form crusty droplets or a translucent film on the surface of affected tissues. The film may crack and give a scaly appearance. If infection occurs early in the crop cycle, the spike may be infected, resulting in sterility; when the disease is severe, entire leaves or spikes may be killed.","The bacterium can be seed borne and persists on crop residues in the soil, tolerating warm as well as freezing temperatures. Free moisture is required for infection and spread of the disease. Infection occurs through stomata and broken epidermal tissue. The disease is spread by splashing rain, plant contact, and insects.",These diseases occur worldwide on all small grain cereals and many grasses.,"Black chaff and bacterial stripe rarely cause significant damage, even though symptoms often may be extensive.",
Basal Glume Rot and Bacterial Leaf Blight,Pseudomonas syringae pv. atrofaciens; Syn. Pseudomonas atrofaciens,"The leaves, culms, and spikes of v wheat and triticale can be infected. Infections begin as small, dark green, water-soaked lesions that turn dark brown to blackish in color. On the spikelets, lesions generally start at the base of the glume and may eventually extend over the entire glume (51 1. Diseased glumes have a translucent appearance when held toward the light. Dark brown to black discoloration occurs with age. The disease may spread to the rachis, and lesions may also develop on the kernels (52). Under wet or humid conditions, a whitish gray bacterial ooze may be present. Stem infections result in dark discoloration of the stem; leaf infections result in small, irregular, water-soaked lesions. Symptoms can be confused with those of other bacterial diseases, genetic melanism (false black chaff), septoria nodorum blotch (glume blotch), and frost damage.","The pathogen survives on crop debris, as well as various grass hosts. It is disseminated by splashing rain or by insects, and can be seed borne. s",The disease can affect all small grain cereal crops; distribution is worldwide. i,"Basal glume rot usually is not economically important, but is frequently reported in humid cereal -growing areas.",
Bacterial Spike Blight (Yellow Ear Rot),Corynebacterium tritici,"A yellow exudate on the spikes is indicative of bacterial spike blight. When dry, the exudate is white. Often the spikes and necks will emerge as a distorted, sticky mass (53). The early leaves may also be wrinkled or twisted. This bacteria is associated with the nematode Anguina tritici in some regions.","The bacteria persists in organic material in the soil. It attacks wheat when it comes in contact with the plant apex within the leaf whorl, and this transmission is often facilitated by the nematode A. tritici.","Wheat is the only cultivated host, though some wild grasses are susceptible to attack. The disease is frequently reported in the Asian Subcontinent.","Bacterial spike blight is not economically important. Viral Diseases Viruses are the smallest pathogens presented irl this field guide, and only one viral disease (BYD) is discussed. The infectious viral particle is called a virion, which is a stable, non-multiplying stage by which the virus is transferred from one plant to another. Viruses multiply in the host plant, and transmission may occur via several means: by insects and mites (especially sucking insects, such as aphids), by nematodes, by seed, by pollen, by fungi, by soil and mechanically. Viral diseases are often difficult to detect because infected hosts may not display visible symptoms, or symptoms may closely resemble those of various physiological disorders or genetic abnormalities. Identification can be facilitated by determining which vectors are present and the host range; in many cases, positive identification requires the use of an electron microscope and serological techniques.",
Barley Yellow Dwarf,Barley yellow dwarf virus (BYDV),"The symptoms of barley yellow dwarf (BYD) vary with the affected crop cultivar, the age of the plant at the time of infection, the strain of the virus, and environmental conditions. Symptoms often are masked by or confused with other problems. Affected plants show a yellowing (54) or reddening (on oats and some wheats) of leaves, stunting, an upright posture of thickened stiff leaves (551, reduced root growth, delayed (or no) heading, and a reduction in yield. The heads of affected plants tend to remain erect and become black and discolored during ripening due to colonization by saprophytic fungi.",Temperatures of approximately 20°C are favorable for disease development and symptoms appear approximately 14 days after infection.,"The term barley yellow dwarf virus (BYDV) includes several related viruses that are all aphid transmitted. Over 20 species of aphids may act as vectors. BYD is probably the most widely distributed viral disease of cereals in the world. It attacks not only wheat, but also barley, triticale, oats, and many other grass species.","Infections occurring early in the crop cycle can result in yield losses of more than 20%, and much larger losses have been recorded.",
